Transaction_ID,Document_ID,Project_Name,Section,Assumption_Name,Case,Year,Value,Unit,Basis_or_Commentary,Source_Note,RAG_Test_Flag
TXN_ADDC_001,ADDC-DOC-001,Project Barq,ESG,Estimated annual CO2e avoidance,Base,2029,42000,tCO2e per year,Indirect emissions reduction from lower losses and better demand management,Synthetic ESG estimate,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Capex breakdown,Smart meters and AMI modules,Base,2026-2029,315,AED million,"meter procurement, communications modules and field installation",Synthetic EPC / vendor estimate,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Capex breakdown,Distribution management system / ADMS,Base,2026-2029,145,AED million,"control room, outage management and operational analytics",Synthetic EPC / vendor estimate,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Capex breakdown,Feeder automation and RMU upgrades,Base,2026-2029,235,AED million,"switchgear, protection relays and remote terminal units",Synthetic EPC / vendor estimate,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Capex breakdown,Water telemetry and district metering,Base,2026-2029,92,AED million,"meters, sensors, pressure management and analytics",Synthetic EPC / vendor estimate,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Capex breakdown,IT integration and data platform,Base,2026-2029,82,AED million,"enterprise integration, cloud/hybrid data layer and interfaces",Synthetic EPC / vendor estimate,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Capex breakdown,"Civil, substations and field works",Base,2026-2029,126,AED million,"site works, cabinets, trenching, substations and commissioning",Synthetic EPC / vendor estimate,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Capex breakdown,Cybersecurity and resilience,Base,2026-2029,38,AED million,"identity, OT segmentation, SOC use cases and hardening",Synthetic EPC / vendor estimate,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Capex breakdown,Owner costs and programme management,Base,2026-2029,42,AED million,"PMO, supervision, procurement and technical assurance",Synthetic EPC / vendor estimate,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Capex breakdown,Contingency,Base,2026-2029,70,AED million,"6.1% of total capex, flagged as below peer median for complex roll-out",Synthetic EPC / vendor estimate,LOW_CONTINGENCY
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Capex phasing,Annual capex deployment,Base,2026,175,AED million,Capex spend profile used for programme cash-flow phasing,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Capex phasing,Annual capex deployment,Base,2027,420,AED million,Capex spend profile used for programme cash-flow phasing,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Capex phasing,Annual capex deployment,Base,2028,395,AED million,Capex spend profile used for programme cash-flow phasing,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Capex phasing,Annual capex deployment,Base,2029,155,AED million,Capex spend profile used for programme cash-flow phasing,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benefits,Opex savings,Base,2027,28,AED million,"Avoided manual reads, truck rolls, lower outage handling cost and optimized field force",Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benefits,Incremental regulated revenue / allowed return,Base,2027,18,AED million,Recovery of approved asset base and allowed return uplift,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benefits,Technical loss and NRW benefit,Base,2027,9,AED million,Monetized reduction in electricity losses and water non-revenue losses,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Financial forecast,Incremental EBITDA,Base,2027,31,AED million,Total incremental recurring benefits net of incremental opex,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benefits,Opex savings,Base,2028,64,AED million,"Avoided manual reads, truck rolls, lower outage handling cost and optimized field force",Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benefits,Incremental regulated revenue / allowed return,Base,2028,73,AED million,Recovery of approved asset base and allowed return uplift,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benefits,Technical loss and NRW benefit,Base,2028,22,AED million,Monetized reduction in electricity losses and water non-revenue losses,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Financial forecast,Incremental EBITDA,Base,2028,104,AED million,Total incremental recurring benefits net of incremental opex,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benefits,Opex savings,Base,2029,112,AED million,"Avoided manual reads, truck rolls, lower outage handling cost and optimized field force",Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benefits,Incremental regulated revenue / allowed return,Base,2029,122,AED million,Recovery of approved asset base and allowed return uplift,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benefits,Technical loss and NRW benefit,Base,2029,39,AED million,Monetized reduction in electricity losses and water non-revenue losses,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Financial forecast,Incremental EBITDA,Base,2029,181,AED million,Total incremental recurring benefits net of incremental opex,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benefits,Opex savings,Base,2030,128,AED million,"Avoided manual reads, truck rolls, lower outage handling cost and optimized field force",Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benefits,Incremental regulated revenue / allowed return,Base,2030,151,AED million,Recovery of approved asset base and allowed return uplift,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benefits,Technical loss and NRW benefit,Base,2030,44,AED million,Monetized reduction in electricity losses and water non-revenue losses,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Financial forecast,Incremental EBITDA,Base,2030,213,AED million,Total incremental recurring benefits net of incremental opex,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benefits,Opex savings,Base,2031,134,AED million,"Avoided manual reads, truck rolls, lower outage handling cost and optimized field force",Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benefits,Incremental regulated revenue / allowed return,Base,2031,158,AED million,Recovery of approved asset base and allowed return uplift,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benefits,Technical loss and NRW benefit,Base,2031,46,AED million,Monetized reduction in electricity losses and water non-revenue losses,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Financial forecast,Incremental EBITDA,Base,2031,224,AED million,Total incremental recurring benefits net of incremental opex,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benefits,Opex savings,Base,2032,141,AED million,"Avoided manual reads, truck rolls, lower outage handling cost and optimized field force",Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benefits,Incremental regulated revenue / allowed return,Base,2032,165,AED million,Recovery of approved asset base and allowed return uplift,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benefits,Technical loss and NRW benefit,Base,2032,48,AED million,Monetized reduction in electricity losses and water non-revenue losses,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Financial forecast,Incremental EBITDA,Base,2032,235,AED million,Total incremental recurring benefits net of incremental opex,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Sensitivity,Capex +10%,Downside,2026-2045,1275,AED million,Equity IRR falls to 10.9% and NPV falls to AED 83m,Synthetic sensitivity case,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Sensitivity,Regulatory recovery lag +12 months,Downside,2026-2045,12,months incremental lag,NPV falls by AED 74m,Synthetic sensitivity case,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Sensitivity,Benefits delayed 1 year,Downside,2026-2045,1,year delay,Equity IRR falls to 10.7%,Synthetic sensitivity case,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Sensitivity,Technical loss benefit -30%,Downside,2026-2045,-30,% vs base,Project IRR falls to 12.4%,Synthetic sensitivity case,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Sensitivity,Capex -5%,Upside,2026-2045,1088,AED million,Equity IRR rises to 13.8%,Synthetic sensitivity case,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Sensitivity,Faster roll-out by 6 months,Upside,2026-2045,6,months acceleration,NPV rises by AED 49m,Synthetic sensitivity case,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Sensitivity,Capex +10% + benefits delay + regulatory lag,Combined downside,2026-2045,,not run,Not calculated in CSV; deck implies result exists,Synthetic financial model,MISSING_COMBINED_DOWNSIDE
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benchmark,Capex per smart meter,Base,2026-2029,2516,AED / meter,Includes AMI system-level and field installation cost allocation,Synthetic benchmark synthesis,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benchmark,Capex per customer served,Base,2026-2029,2290,AED / customer,CSV metric based on 500k directly affected customers,Synthetic benchmark synthesis,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benchmark,ADMS cost as % of capex,Base,2026-2029,12.7,%,Appears higher than generic utility benchmark range in market note,Synthetic benchmark synthesis,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benchmark,Contingency as % of capex,Base,2026-2029,6.1,%,Below the 8-12% range used for comparable complex roll-outs,Synthetic benchmark synthesis,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Benchmark,Opex saving per meter per year,Base,2026-2029,281,AED / meter / year,Compares against internal field-force cost baseline,Synthetic benchmark synthesis,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Data quality,Independent regulatory determination attached,Base,2026,No,Yes/No,Revenue recovery relies on sponsor representation; formal approval not in pack,Synthetic completeness check,MISSING_REGULATORY_EVIDENCE
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Data quality,Independent customer-demand forecast attached,Base,2026,Partial,status,Load growth and connection forecast support summarized but not fully provided,Synthetic completeness check,PARTIAL_DEMAND_EVIDENCE
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Data quality,Vendor quotes attached,Base,2026,Partial,status,Only two indicative supplier quotes; final EPC pricing not locked,Synthetic completeness check,PARTIAL_VENDOR_SUPPORT
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Data quality,Cybersecurity penetration testing scope attached,Base,2026,No,Yes/No,Cyber hardening budget included but testing scope not attached,Synthetic completeness check,MISSING_CYBER_SCOPE
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Data quality,Water telemetry benefit methodology attached,Base,2026,No,Yes/No,NRW monetization methodology not fully evidenced,Synthetic completeness check,MISSING_NRW_EVIDENCE
